accelerometer x,accelerometer y,accelerometer z,gyroscope x,gyroscope y,gyroscope z
-12.199655,-19.7785,-20.07179,-0.973762,-0.39531535,0.4115216
-0.8726865,2.1260512,6.4727244,1.6034784,0.05244889,-0.678262
-4.4161053,-10.631453,-3.393781,4.125741,3.5582047,3.387046
1.7381904,-10.120291,-0.90381116,0.81424063,-1.2688526,0.6167723
-2.8287494,-6.8522053,0.16759412,1.4183863,1.3193834,-0.10649214
0.961272,-13.7127905,-1.1707647,-0.15703514,-0.26031414,0.4622234
-5.5162406,-15.413871,-3.5110967,-3.4056165,1.2356949,-2.2542944
-12.854469,-7.8410106,-10.685322,-1.6670941,4.3333926,-0.14680925
-0.08619126,-5.935226,-0.36032736,-3.389123,-1.403243,-1.0606636
-3.8869865,3.0789435,3.7672763,-0.2315607,-2.698888,0.16045597
-12.386402,-21.334732,-29.326576,0.81424063,0.9980683,-0.1529179
-15.102624,-11.871649,11.621455,2.2357242,2.2766094,-0.39298794
-3.620033,-6.8342485,4.7405195,4.221036,1.5111951,-0.052735996
1.0618285,-6.4763155,7.4244194,1.5631614,-3.2395039,0.690687
-1.021127,-8.256405,-2.1930888,0.862499,-0.13081068,0.27835298
0.17956513,-11.84651,-1.186327,0.4697126,0.48066542,0.86600536
-1.186327,-11.085154,-4.0258503,-1.9505355,1.5997705,-1.5188125
-9.850943,-12.538434,1.7896658,-1.2480406,3.891737,0.8519554
-4.027047,-6.3709707,-0.79846627,-4.0274773,-1.0855931,-0.6978097
-3.2573113,-0.7697359,1.7669208,-1.527206,-2.187594,0.22581854
-1.0307038,-10.117896,-11.115082,2.9431062,-1.4814337,-0.19018067
-4.7860093,-1.851915,-6.2967505,-0.3561772,-0.496719,-0.31540805
-1.5059528,-6.7983356,1.6484078,2.8960695,2.3248677,-0.5182153
-2.8491,-11.859678,0.073023155,2.1373749,-0.12714548,0.88188785
